timestamp,endpoint,query,paperId,title,year,authors,venue,citations,url
2025-06-21T00-21-31-297Z,searchPapers,paralysis,358dd113fd790ef4882c254581453ae3be8bc450,The neurons that restore walking after paralysis,2022,C. Kathe; M. Skinnider; T. Hutson; Nicola Regazzi; M. Gautier; Robin Demesmaeker; Salif Komi; S. Ceto; N. James; N. Cho; L. Baud; K. Galan; K. Matson; Andreas Rowald; Kyungjin Kim; Ruijia Wang; K. Minassian; John O. Prior; L. Asboth; Q. Barraud; S. Lacour; Ariel J. Levine; Fabien B. Wagner; J. Bloch; J. Squair; G. Courtine,Nature,165,https://www.semanticscholar.org/paper/358dd113fd790ef4882c254581453ae3be8bc450
2025-06-21T00-21-31-297Z,searchPapers,paralysis,53ba980dd79fe4eaf9611b9744b90e474cacba1f,Association of Facial Paralysis With mRNA COVID-19 Vaccines: A Disproportionality Analysis Using the World Health Organization Pharmacovigilance Database.,2021,Lucie Renoud; C. Khouri; B. Revol; M. Lepelley; Justine Perez; M. Roustit; J. Cracowski,JAMA Internal Medicine,123,https://www.semanticscholar.org/paper/53ba980dd79fe4eaf9611b9744b90e474cacba1f
2025-06-21T00-21-31-297Z,searchPapers,paralysis,060a275076da0838176357db715e4d9ffc904626,Prediction of muscular paralysis disease based on hybrid feature extraction with machine learning technique for COVID-19 and post-COVID-19 patients,2021,Prabu Subramani; Srinivas Konda; Kavitha Rani Balmuri; S. Rajkumar; P. Divakarachari,Personal and Ubiquitous Computing,91,https://www.semanticscholar.org/paper/060a275076da0838176357db715e4d9ffc904626
2025-06-21T00-21-31-297Z,searchPapers,paralysis,817574eedd1acbeddb5d802fd7122e90a285d483,High performance communication by people with paralysis using an intracortical brain-computer interface,2017,C. Pandarinath; Paul Nuyujukian; C. Blabe; Brittany L Sorice; J. Saab; Francis R. Willett; L. Hochberg; K. Shenoy; J. Henderson,eLife,414,https://www.semanticscholar.org/paper/817574eedd1acbeddb5d802fd7122e90a285d483
2025-06-21T00-21-31-297Z,searchPapers,paralysis,318ebea305536031296998b2d0fee06a5ed2324b,Thyrotoxic periodic paralysis,2020,Patrick Jeffery Wimmer; Emanuilov Manov; Amy Elizabeth Bredenberg,Definitions,52,https://www.semanticscholar.org/paper/318ebea305536031296998b2d0fee06a5ed2324b
2025-06-21T00-21-31-297Z,searchPapers,paralysis,f5c6c55346bf908c550f38fe31dce94d7d48049c,Cortical control of a tablet computer by people with paralysis,2018,Paul Nuyujukian; José Luis Albites Sanabria; J. Saab; C. Pandarinath; B. Jarosiewicz; C. Blabe; Brian Franco; S. Mernoff; E. Eskandar; J. Simeral; L. Hochberg; K. Shenoy; J. Henderson,PLoS ONE,136,https://www.semanticscholar.org/paper/f5c6c55346bf908c550f38fe31dce94d7d48049c
2025-06-21T00-21-31-297Z,searchPapers,paralysis,8d0fd5a56aa192ea1ed52f46c9f8f1a5e2436f2a,Trial of Contralateral Seventh Cervical Nerve Transfer for Spastic Arm Paralysis,2018,Mouxiong Zheng; Xu-Yun Hua; Juntao Feng; Tie Li; Ye-Chen Lu; Yundong Shen; Xiao-Hua Cao; Nai-Qing Zhao; Jianjun Lyu; Jian-guang Xu; Yu‐dong Gu; Wendong Xu,New England Journal of Medicine,137,https://www.semanticscholar.org/paper/8d0fd5a56aa192ea1ed52f46c9f8f1a5e2436f2a
2025-06-21T00-21-31-297Z,searchPapers,paralysis,0d8632846f73841ed32bce235a4023dca2968e7b,Review of the Diagnosis and Treatment of Periodic Paralysis,2017,J. Statland; B. Fontaine; M. Hanna; N. Johnson; J. Kissel; V. Sansone; P. Shieh; R. Tawil; Jaya R. Trivedi; S. Cannon; R. Griggs,Muscle and Nerve,190,https://www.semanticscholar.org/paper/0d8632846f73841ed32bce235a4023dca2968e7b
2025-06-21T00-21-31-297Z,searchPapers,paralysis,2ebd54e06292ba4a593a73b5d52d59a226870ef7,"Association Among Facial Paralysis, Depression, and Quality of Life in Facial Plastic Surgery Patients",2017,J. Nellis; M. Ishii; P. Byrne; K. Boahene; Jacob K. Dey; L. Ishii,JAMA Facial Plastic Surgery,176,https://www.semanticscholar.org/paper/2ebd54e06292ba4a593a73b5d52d59a226870ef7
2025-06-21T00-21-31-297Z,searchPapers,paralysis,aea3b0e42fccea252a6fcd3c7f620dc6c61de041,Recovery time from supplementary motor area syndrome: relationship to postoperative day 7 paralysis and damage of the cingulum.,2020,Riho Nakajima; M. Kinoshita; T. Yahata; M. Nakada,Journal of Neurosurgery,31,https://www.semanticscholar.org/paper/aea3b0e42fccea252a6fcd3c7f620dc6c61de041
2025-06-21T00-21-31-297Z.csv,searchPapers,paralysis,a61ecb68585cfb29e5142b8e22b1a05bc8df4b39,Ablation of the Ferroptosis Inhibitor Glutathione Peroxidase 4 in Neurons Results in Rapid Motor Neuron Degeneration and Paralysis*,2015,Liuji Chen; W. S. Hambright; Ren Na; Qitao Ran,Journal of Biological Chemistry,367,https://www.semanticscholar.org/paper/a61ecb68585cfb29e5142b8e22b1a05bc8df4b39
2025-06-21T00-21-31-297Z.csv,searchPapers,paralysis,c2f954ba59f958d61ba4bab1140a2aaa22893c36,"Prevalence and Causes of Paralysis-United States, 2013.",2016,B. Armour; Elizabeth A. Courtney-Long; M. Fox; Heidi G. Fredine; Anthony Cahill,American Journal of Public Health,148,https://www.semanticscholar.org/paper/c2f954ba59f958d61ba4bab1140a2aaa22893c36
