timestamp,endpoint,query,paperId,title,year,authors,venue,citations,url
2025-06-21T00-45-57-195Z,searchPapers,thyroid,9e4c6df56eb991acc60117b4308c3f06c70c5307,American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer : The American Thyroid Association Guidelines Task Force on Thyroid Nodules and Differentiated Thyroid Cancer,2017,Kaliszewski; Diakowska; Strutyńska-Karpińska; Wojtczak; Domosławski; Balcerzak,,6627,https://www.semanticscholar.org/paper/9e4c6df56eb991acc60117b4308c3f06c70c5307
2025-06-21T00-45-57-195Z,searchPapers,thyroid,a2a0a621914cedced4222249131eeb56fa6c7488,Thyroid Cancer: A Review.,2024,Laura Boucai; M. Zafereo; M. Cabanillas,Journal of the American Medical Association (JAMA),178,https://www.semanticscholar.org/paper/a2a0a621914cedced4222249131eeb56fa6c7488
2025-06-21T00-45-57-195Z,searchPapers,thyroid,66ce9f3a73bc3e2edb795b17a7e10d2b803e92c6,Revised American Thyroid Association management guidelines for patients with thyroid nodules and differentiated thyroid cancer.,2009,D. Cooper; Gerard M Doherty; B. Haugen; R. Kloos; Stephanie L. Lee; S. Mandel; E. Mazzaferri; B. Mciver; F. Pacini; M. Schlumberger; S. Sherman; D. Steward; R. Tuttle,Thyroid,7915,https://www.semanticscholar.org/paper/66ce9f3a73bc3e2edb795b17a7e10d2b803e92c6
2025-06-21T00-45-57-195Z,searchPapers,thyroid,0ac3db302037a02ba6e9b7e67c78986c3aa3f72d,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer: The American Thyroid Association Guidelines Task Force on Thyroid Nodules and Differentiated Thyroid Cancer.,2009,B. Haugen; E. Alexander; K. Bible; Gerard M Doherty; S. Mandel; Y. Nikiforov; F. Pacini; G. Randolph; Anna M. Sawka; M. Schlumberger; K. Schuff; S. Sherman; J. Sosa; D. Steward; R. Tuttle; L. Wartofsky,Thyroid,10010,https://www.semanticscholar.org/paper/0ac3db302037a02ba6e9b7e67c78986c3aa3f72d
2025-06-21T00-45-57-195Z,searchPapers,thyroid,6b63586a53086c07a60d1a70e366edb87dd55351,The 2023 Bethesda System for Reporting Thyroid Cytopathology.,2023,Syed Z. Ali; Z. Baloch; B. Cochand‐Priollet; F. Schmitt; P. Vielh; P. VanderLaan,Thyroid,237,https://www.semanticscholar.org/paper/6b63586a53086c07a60d1a70e366edb87dd55351
2025-06-21T00-45-57-195Z,searchPapers,thyroid,90ad4b1c9ab36c8420c5b11c4d64cce86d4db21b,Overview of the 2022 WHO Classification of Thyroid Neoplasms,2022,Z. Baloch; S. Asa; J. Barletta; R. Ghossein; C. Juhlin; C. Jung; V. Livolsi; M. Papotti; M. Sobrinho-Simões; G. Tallini; O. Mete,Endocrine pathology,625,https://www.semanticscholar.org/paper/90ad4b1c9ab36c8420c5b11c4d64cce86d4db21b
2025-06-21T00-45-57-195Z,searchPapers,thyroid,a73b5998bdd6de6fc16a5dd4fd1e5d25734f5424,The steroid and thyroid hormone receptor superfamily.,1988,R. M. Evans,Science,7182,https://www.semanticscholar.org/paper/a73b5998bdd6de6fc16a5dd4fd1e5d25734f5424
2025-06-21T00-45-57-195Z,searchPapers,thyroid,c9c39a83fdcfa4de7404569f666f8e2cd897a8ad,"Serum TSH, T(4), and thyroid antibodies in the United States population (1988 to 1994): National Health and Nutrition Examination Survey (NHANES III).",2002,J. Hollowell; N. Staehling; W. Flanders; W. H. Hannon; E. Gunter; C. Spencer; L. Braverman,Journal of Clinical Endocrinology and Metabolism,3731,https://www.semanticscholar.org/paper/c9c39a83fdcfa4de7404569f666f8e2cd897a8ad
2025-06-21T00-45-57-195Z,searchPapers,thyroid,d789a137f231e7fbc93932039c68c85e14e22492,2023 European Thyroid Association Clinical Practice Guidelines for thyroid nodule management,2023,C. Durante; L. Hegedüs; A. Czarniecka; R. Paschke; G. Russ; F. Schmitt; P. Soares; T. Solymosi; E. Papini,European Thyroid Journal,120,https://www.semanticscholar.org/paper/d789a137f231e7fbc93932039c68c85e14e22492
2025-06-21T00-45-57-195Z,searchPapers,thyroid,94012842d014eca36fffd015af89abe798b54b67,Revised American Thyroid Association guidelines for the management of medullary thyroid carcinoma.,2015,Samuel A. Wells; Sylvia L. Asa; H. Dralle; R. Elisei; Douglas B. Evans; R. F. Gagel; N. Lee; A. Machens; J. Moley; F. Pacini; F. Raue; K. Frank‐Raue; B. Robinson; M. Rosenthal; M. Santoro; M. Schlumberger; M. Shah; S. Waguespack,Thyroid,1836,https://www.semanticscholar.org/paper/94012842d014eca36fffd015af89abe798b54b67
