timestamp,endpoint,query,paperId,title,year,authors,venue,citations,url
2025-06-20T18-23-29-685Z,searchPapers,cancer,edd3d3da27e09dd36e919e0b3f7057da31fc963c,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2024,F. Bray; M. Laversanne; Hyuna Sung; J. Ferlay; R. Siegel; Isabelle Soerjomataram; A. Jemal,Ca,9142,https://www.semanticscholar.org/paper/edd3d3da27e09dd36e919e0b3f7057da31fc963c
2025-06-20T18-23-29-685Z,searchPapers,cancer,543aef9f57808495d12242bce3474fb80d01a4ad,"Cancer statistics, 2024",2024,R. Siegel; Angela N Giaquinto; A. Jemal,Ca,4937,https://www.semanticscholar.org/paper/543aef9f57808495d12242bce3474fb80d01a4ad
2025-06-20T18-23-29-685Z,searchPapers,cancer,474f691172792ba6b47c8a3010b7b6db8a4c9a48,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021,H. Sung; J. Ferlay; R. Siegel; M. Laversanne; I. Soerjomataram; A. Jemal; F. Bray,Ca,77995,https://www.semanticscholar.org/paper/474f691172792ba6b47c8a3010b7b6db8a4c9a48
2025-06-20T18-23-29-685Z,searchPapers,cancer,83ab5cf89399bca5449f4a7baf1b1b3c2e1178c7,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018,F. Bray; J. Ferlay; I. Soerjomataram; R. Siegel; Lindsey A. Torre; A. Jemal,Ca,70779,https://www.semanticscholar.org/paper/83ab5cf89399bca5449f4a7baf1b1b3c2e1178c7
2025-06-20T18-23-29-685Z,searchPapers,cancer,cb004c1bd6796118879563b226def1973c41531c,"Cancer statistics, 2023",2023,R. Siegel; K. D. Miller; N. S. Wagle; A. Jemal,Ca,11188,https://www.semanticscholar.org/paper/cb004c1bd6796118879563b226def1973c41531c
2025-06-20T18-23-29-685Z,searchPapers,cancer,d18e93ab0e8f8514e2a7a32601849b2a8c029fcb,"Cancer statistics, 2022",2022,R. Siegel; K. D. Miller; Hannah E Fuchs; A. Jemal,Ca,12902,https://www.semanticscholar.org/paper/d18e93ab0e8f8514e2a7a32601849b2a8c029fcb
2025-06-20T18-23-29-685Z,searchPapers,cancer,d82b8ab44b65b003e67775160f601eda3a0c8fb4,"Cancer Statistics, 2021",2021,R. Siegel; K. D. Miller; Hannah E Fuchs; A. Jemal,Ca,13243,https://www.semanticscholar.org/paper/d82b8ab44b65b003e67775160f601eda3a0c8fb4
2025-06-20T18-23-29-685Z,searchPapers,cancer,d9a0961229e5d1f9d1a09f6511b26c5637752ad2,Hallmarks of Cancer: New Dimensions.,2022,D. Hanahan,Cancer Discovery,4318,https://www.semanticscholar.org/paper/d9a0961229e5d1f9d1a09f6511b26c5637752ad2
2025-06-20T18-23-29-685Z,searchPapers,cancer,65c387d38580518969e5790a117915f695b77847,"Cancer statistics, 2020",2020,R. Siegel; K. D. Miller; A. Jemal,Ca,17395,https://www.semanticscholar.org/paper/65c387d38580518969e5790a117915f695b77847
2025-06-20T18-23-29-685Z,searchPapers,cancer,6b12ed47d5718d1e7b99ac9541aa5a0ee9bf5116,"Cancer statistics, 2019",2019,R. Siegel; K. D. Miller; A. Jemal,Ca,17679,https://www.semanticscholar.org/paper/6b12ed47d5718d1e7b99ac9541aa5a0ee9bf5116
